Ambient_Temp,CPU_Usage_%,CPU_Temp
20.621780831931538,5,47.64536409195814
24.655000144869412,82,80.71173881196273
23.123957592679837,92,94.42388587936972
22.190609389379254,42,63.19240800411006
19.092130483097055,61,59.52079499133312
19.091961642353418,22,49.708447169907515
18.406585285177396,21,52.986590442773426
24.063233020424548,70,79.5388551713622
22.207805082202462,1,41.61046142233414
22.956508044572317,5,54.19522219021063
18.144091460070616,12,37.75857510772954
24.78936896513396,90,91.46791877124284
23.827098485602953,46,60.395778737036515
19.486373774747932,34,55.85242243465414
19.272774770449704,49,68.05017311467314
19.283831568974037,78,74.9386262272042
20.129695700716763,90,84.23912742942797
21.673295021425666,45,67.10126382426046
21.02361513049481,27,62.45968122361678
20.038603981386295,73,78.55737403223212
22.282970263056654,26,54.870842772985775
18.976457024564294,47,64.73645659844448
20.045012539746526,86,70.8212557392071
20.56453290305584,56,66.78791494697808
21.19248988951925,94,87.1234115406158
23.496231729751095,63,74.06471634693132
19.397716475108517,48,64.71045842771565
21.59964106889528,61,69.25320740284538
22.146901982034297,81,84.62162956611687
18.325152889039984,26,51.98810459830302
22.252813963310068,36,58.77612584395181
19.19366886581104,1,47.864989701818516
18.455361150896955,8,38.320633769254044
24.642198760773333,99,91.67580523051473
24.759424231521916,52,65.2988847066906
23.65878143681523,79,86.3801718703691
20.132296384213596,47,61.653619394822336
18.683704798044687,56,65.49536936175207
22.789631185585097,86,83.81040940592273
21.08106745617721,14,41.248857965841864
18.854267643913452,90,75.37219696491185
21.466238370778893,28,62.17721559136744
18.24071964780653,87,81.02768869822228
24.365242814551475,78,81.85345240443786
19.811459871200118,88,72.22643398831254
22.637655990477874,2,50.89270449286635
20.181977532625876,26,58.18537099017828
21.640476148244677,14,51.803657443512336
21.826971955402957,59,75.90822109944084
19.29398118867869,56,62.135618475763806
24.78709239435191,7,49.995222985722414
23.4259297635278,3,36.888057820804285
24.576492590949325,23,63.29092865987751
24.26379145299354,18,57.88585956094292
22.185299851677595,38,53.413258196346966
24.45311964516182,99,80.15074857422346
18.619447514363436,15,43.98018388038107
19.371880036934016,64,72.81454575422259
18.316591022373768,89,76.07810678640537
20.27731231534285,28,51.5088401951098
20.720741027826374,74,69.43430976797417
19.899443222417272,39,54.22477207775979
23.801162564063503,57,61.69300357133841
20.497273286855126,17,45.35974878599428
19.966541567811664,86,73.00695948298815
21.79887258210774,90,85.57176328081502
18.98646957482334,44,59.55514822405493
23.615378865278277,25,54.210530423246624
18.521854505758395,17,60.57483918394101
